,review,sentiment
24939,The film has so much potential which was not developed. Mark Hamill gives a good performance and so does Bill Paxton. The scenery is beautiful and the ultralight aircraft are neat. The problem with this film is that the story is way underdeveloped and the plot goes nowhere. The film at certain points almost puts you to sleep. I give it 3 out of 10 stars for the flying scenes.,negative
40562,"A group of douche-bag teenagers go up to an old mining town in hopes of finding gold nuggets. The one hitch in the hair-brained scheme is that the ancient supernatural miner whom the gold belongs to doesn't wish to part with his treasure so easily and so begins to dispatch the interlopers accordingly. <br /><br />Literally cliché-sprouting dialog, horrible acting, some insanely terrible 'southern dialect' and a lame unmemorable killer who resembles Jeepers Creepers (without the aforementioned's predilection of young boys naturally) combine to make this stinker just about unwatchable. Even cult legend actress Karen Black in a small role can't save this aberration.<br /><br />Eye Candy: Elina Madison shows (badly lit) T&A <br /><br />My Grade: D- <br /><br />Where I saw it: TMCX",negative
20532,"This movie is the only movie to feature a scene in which Michael Jackson wields a Tommy Gun. Plain and simple.<br /><br />This movie rocks because it is freaking' hilarious! It may be creepy to see Jacko w/ little kids, but this movie also stars.......................................... wait for it,.....................<br /><br />JOE PESCI!!!!!!!!!!!!!!!!!!!!!<br /><br />Think about it, Joe Pesci and Jacko with Tommy guns, throwing coins into jukeboxes from 20 feet away? Whats not to like? As stated before, THIS MOVIE ROCKS!!!!!!!!!!!! !!!!!!! !!!!!!!!!!! !!!!!!!! !!!! !!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!! !!!!!!!!!! !!!!!!! ! !!!! !!!!!!!!!!!!!!!!!!!!!!",positive
41049,"I once heard this movie described as either you'll love it or you'll hate it. From reading some of the other reviews and the ratings, I would venture to say that this is true. I am placing myself in the hate it crowd. I have seen some truly bad movies, boring movies, and even low budget movies. This movie is bad on all three fronts.<br /><br />This Island Earth's Exeter (Jeff Morrow), returns to his sci-fi/b-movie roots as Dr. Les (minus giant head prosthetic). The doctor and his assistant Arnie (George O'Hanlon - aka the voice of George Jetson), along with Les' girlfriend assistant Vera, are tracking a meteor. This is the crux of the cast and is almost a double date. Les has Vera and Arnie has his ""Susie"" (Synchro Unifying Sinometric Integrating Equitensor - aka the computer). Lets just say the relationship between George and his robotic maid, Rosie, (and his relationship with ""Susie"") is more believable than the cold, clam-like feelings Vera has for Les (and vice versa). The object of their all their interest is no ordinary meteor, however. It is really an alien art nouveau/art deco energy storage device, which moves around like a 3 legged dog. There is also the little alien ""energy"" being that controls Dr. Hubbel (aka, the chief scientist there). The alien is obviously and from the get-go, malicious and evil. Is this the kind of science we are handing out? No wonder the aliens from the Explorers were afraid of us. From watching some of these movies, we shoot first. There's no need for questions afterwards. <br /><br />The whole movie is synonymous with watching some really boring science experiments, like boiling an egg or adding food color to celery. Its not the fact that this is a low budget sci-fi movie or thats its a bit cheesy and outdated. It is really, really, really boring. The whole movie is about trying to figure out what is going on. That is it. Most of the things we learn about what's going on are through monologues and self dictation. Now add crappy dialog, cardboard acting and cheap-sets and you have the makings of an Ed Wood clone (by the way, Ed has made some really boring movies as well - please avoid the Orgy of the Dead). The dialog ... oh, the dialog. Jems such as :<br /><br />""..from under 2 miles of ocean ?<br /><br />Why not ?! It came through a billion miles in space.""<br /><br />or<br /><br />""Do you think you'll be able to respect a husband who's probably pulled the scientific boner of all time ?""<br /><br />This movie is obviously trying to pull a Forbidden Planet, This Island Earth, Magnetic Monster or in the same light as the Outer Limits, Twilight Zone. Namely, a low budget sci-fi movie (or TV episode) that is compelling enough to get past the technical difficulties and strange situations. At the core, these movies are enjoyable on some level (the story, the underlying meaning or the sheer comical nature of the dialog or situations). This movie has none of that. It is just 90 minutes of boredom. I couldn't even enjoy this on a Ed Wood level. I definitely recommend skipping this one and seeing one of the movies I mentioned above instead. It is so bad, that if my name was Dr. Forrester, I would never think of showing this movie to anyone ... except Frank maybe.",negative
18638,"A couple are split apart during a vacation. Early scenes lead us to believe Barney, Jeff Bridges' character, has kidnapped the girl in an unexplained but premeditated abduction. The film plays out some years later where, despite a new love interest, Jeff (Kiefer Sutherland) is determined to solve her disappearance.<br /><br />The storyline is definitely intriguing but there have been some really bad decisions made during the making of this film, culminating a pretty shoddy piece of work.<br /><br />OK here we go. The abduction scene - aside from two major continuity errors there is a point where Sandra Bullock and Kiefer Sutherland are made to perform a little signed-pet-love-ritual that's drowned in over-sentimentality to the point of nausea. We know they're in love; the ""I do solemnly swear never to leave you"" speech only moments prior was ample thank you. Jeff Bridges' robot accent is another example. What is that for? Starman is back and it seems after a decade on the planet, he's turned nasty. The entire plot is then able to be resolved by the introduction of a needless character who, by a rather fortunate twist of fate, has quite miraculous powers of observation. The climactic sequence itself has essentially been done before only much, much better. It's riddled with further annoyances and another blinding continuity blunder. I could go on but something positive needs to be said. At a stretch, Kiefer Sutherland is the only one to save face with a fairly decent performance.<br /><br />The 1988 original of the same name (changed from the Dutch title 'Spoorloos' for English speaking audiences) was recommended to me, only for an online rental company to send me this later Hollywood version by mistake. I was surprised to find both having been Directed by George Sluizer and would be interested to know his motivation for the remake. I am reliably and thankfully informed it is of a much higher quality in all areas including plot. Horah for that, but it really doesn't take much doing.",negative
31946,"> This show is the single greatest thing to come out of America since The > Simpsons. Not only does it have thousands of new ideas, but it's actually > controversial (see the Jewish joke, Season 1, Episode 1) and isn't scared to > ""tick"" people off. However, the great minds at Fox have canceled it, along > with Greg the Bunny and Futurama, so make sure you buy the Season 1 box set > while you still can. It'll be the best money you ever spend. It's > definitely a show that gets better the more you watch it, as at first the > constant flashbacks can get a little annoying and don't always seem to fit > the story properly. However after a couple of episodes you realise how > brilliant it is, and how well it compares to any other show currently on air > at the moment.",positive
15725,"This movie really shows its age. The print I saw was terrible due to age, but it is possible that there are better prints out there. However, this was not the major problem with the movie. The problem was that although the film was made in 1933, it was essentially a silent film with only the barest of dialog scattered (only a few sentences) in the film in the most amateur fashion. Sometimes the characters' backs were turned or they were talking with their hands over their faces--all in a pathetic attempt to obscure their lips and ""cleaverly"" (?) hide the fact that the film was dubbed. Well, its true that this Czech film would need to be dubbed into many languages but to do it this way was really stupid and obvious. It just looked cheap.<br /><br />Overall, the film looked low budget and silly. It's really a shame though, because there was a grain of a good story--a young woman who marries an older man who is either gay and/or has no interest in women. But in the 21st century, few people would really be willing to sit through this archaic mess. EVEN with a few glimpses of the naked (and somewhat chunky) Hedy Lamarr, it isn't worth all the fuss that accompanied the film when it debuted. Even by 1933 standards, this film was a poorly made dud. About the only interesting thing about the film is to see how different Lamarr looked in 1933 compared with the glamorous image Hollywood created when she came to America--she looks like 2 completely different people.<br /><br />It's such an incomplete looking and technically inferior film, I don't see how it has gotten such rave reviews. For technical problems alone, the movie can't rate a 10 or anything near it.",negative
42267,"So many times, Bollywood has tried to remake Hollywood hits, only to produce total duds. Mercifully, Yash Chopra's interpretation of ""Sleeping with the Enemy"" is an extremely stylish and well-made films.<br /><br />Shah Rukh Khan is obsessed with Juhi Chawla (who's looking her very best in here!). When he realizes that Juhi has a fiance in Sunny Deol, he stops at nothing to make sure she becomes his.<br /><br />Every frame of this film is a delight to watch. Whether it's Shah Rukh chanting his trademark ""I love you, K...k...k...kiran!"" or the feel-good mushy scenes between Sunny and Juhi (who make a perfect match), you won't feel like leaving your eat in boredom.<br /><br />Each and every song on the soundtrack is ear pleasing, especially Jaadu Teri Nazar and Tu Mere Samne. Like I said, Juhi looks like a Goddess in this film. Darr may not be SRK's best film (that honor goes to Baazigar), but it definitely figures as one of his most flawless performances! Sunny is OK. He's done similar roles before, but he's good.<br /><br />Overall, Darr is g...g...g...great! ;)",positive
26999,"""Shadows and Fog"" is surely one of Woody Allen's weakest films, right up there with ""September"" and ""Hollywood Ending"" (though nothing Allen has done equals the awfulness of ""Anything Else"").<br /><br />""Shadows and Fog"" is Allen's homage to the German Expressionist style of film-making, all stark and stylized light and shadow and...you guessed it.....lots of fog. But you can tell Allen got caught up in the technique and the parody and forgot to make a movie that anyone would care about.<br /><br />Luckily, he made ""Husbands and Wives"" the same year, so things weren't a total wash for him.<br /><br />Grade: D",negative
8294,"Overall this is a delightful, light-hearted, romantic, musical comedy. I suppose a small case could be made for the movie being to long. But I'm not sure what you would cut out. The singing that Kelly and Sinatra do? No. The fabulous dancing that Kelly does? No. The time the movie takes to develop the story line and develop the relationships of the characters? No (that seems to be a common complaint many times that more recent movies don't develop the characters).<br /><br />Some comment that Iturbi didn't bring much to the movie but this gives us a chance to see and hear a great talent from the 1040s. So what if he wasn't an actor? He was an important part of the movie as the basic plot was to get Grayson an audition with him. <br /><br />Originally Katherine Grayson wanted to be an opera star. Louis B. Mayer brought her to MGM for a screen test that included an aria. During her audition in the movie there is a shot of the MGM brass nodding and smiling. You can just imagine it was like that when she had made her real screen test years before.<br /><br />This movie is so full of life it is hard to hit all of the highlights. Great use was made of color and lighting throughout the movie. You can see why Frank Sinatra became the star he did. A nice counter-point in the movie is how Sinatra (a ladies man even then) played the role of wanting to just find a date while on leave. You'll feel good after seeing this movie. 7/10",positive
39469,"This is one of those movies - like Dave, American Dreamer and Local Hero - that holds a viewer's interest time and again. Lightweight movies seldom win Oscars, but whoever did the casting for Soapdish deserves one. Even after one has seen the movie and knows what is coming, it's still enjoyable to watch how the various plot facets develop. True, all the drama is melodrama; but that's entirely fitting for a movie with a soap opera background. My favorite line comes from Whoopi Goldberg: ""Now why can't I write sh*t like that?"" I think it's unfortunate that the TV and website censors insist on all this unnecessary sanitation.",positive
11410,Michelle Pfeiffer stars as a mob widow who seeks a normal life but has her hands full with the new boss and an undercover agent. A lighthearted Demme film with some good laughs and Pfeiffer in a comical role that she has fun with..on a scale of one to ten..8,positive
19745,"How do I describe the horrors?!!! First, some points: First, this review should be taken with a grain of salt -- I saw this over 20 years ago, when I was a boy, at the Museum of Modern Art in New York City.<br /><br />Secondly, I am giving away some scenes and plot points. However, it does not have much of a plot.<br /><br />Finally, I don't enjoy these type of art films anyway.<br /><br />This film was directed by proto-auteur Luis Bunuel. He was a surrealist and dadaist. These were modernist themes or movements popular critically in the 1920's and early 1930's. Surealism was the school of art that made things hyper-real, yet often had Freudian symbolism. Dadaism is based on what is supposedly the first word made by an infant -- Dada, or father.<br /><br />Made in black and white, it was also made by a band of communists (or as they preferred the term, socialists). Bunuel and his group of fellow film-makers and artistes had been working on a number of symbolic ideas and issues in Spain and France between the world wars.<br /><br />Dadaism and surrealism influenced a lot of artists -- The Police (Doo doo doo da), poet Arthur Rambaud, Edvard Munch (The Scream), Rene Magritte (floating hats in space), Salvador Dali (melting clocks), and even Hitchcock (Psycho). No Norman Rockwell.<br /><br />Here's what I recall most about this film: a girl meets up with a cow; her eye gets slashed by a razor; clownish men cavort in a meadow. There is not, as I said, much of a plot, but then again, that must be the point.<br /><br />This was attacked as porn back then, and would be again today. One of the trade-marks of surrealism is a significant anti-feminism.",negative
49391,"This is an excellent movie. Phoolan had no role model's to base her actions on, yet was able to bring about very necessary change to a land that was living in darkness when it comes to female treatment. I like the fact that it was a real story rather than made up, it added to the horror of the story, & the triumph.",positive
19952,"It took 9 years to complete this film. I would think that within those 9 years someone would have said,hey, this film is terrible. I've seen better acting in porn movies. The story is tired and played. Abused child turns into serial killer. How about something new for a change. How about abused child turns into a florist? At least that would have been a new twist. Why is it that everyone with a camera and a movie idea (especially unoriginal movie ideas) thinks that they can be a director? I do admire the fact that they stuck with this film for 9 years to get it completed. That shows tenacity and spirit. With this kind of drive hopefully next time they can focus it on a better script. If you want to see a failed experiment in indie film making from a writer/director from Michigan see Hatred of A Minute. If you want a good movie from a Michigan writer/director stick with Evil Dead.",negative
34474,"The Evil Below starts on 'The Straits of San Sebastian 1683' as the 17th century treasure ship the El Diablo sinks in a violent thunderstorm. Jump to 'The Straits of San Sebastian Present Day' where two divers are exploring the beautiful underwater coral reefs that are rich in wildlife, the come across the sunken wreck of the El Diablo & explore it but are attacked & killed by something that looks like a vicious eel. Captain Max Cash (Wayne Crawford) owns & runs a boat-for-hire named the 'Vagrant Viking' which caters for tourists who want to fish, dive & generally explore the islands. Sarah Livingstone (June Chadwick) is an art teacher who dives for treasure as a hobby (well we all have to do something to pass the time right?), she hires Max & his scantily clad assistant Tracy (Sheri Able) so she can try to locate the El Diablo & get rich. Talk of sunken treasure excites some of the more unscrupulous members of the local community, as they dodge the criminals & thugs it is brought to Max & Sarah's attention that the El Diablo has a sinister past, a past that supposedly still leaves it's supernatural legacy behind even now...<br /><br />Directed by Jean-Claude Dubois, according to the IMDb with a little help from star Crawford although the version I saw only listed Dubois, I thought The Evil Below had some potential & is a bit different but unfortunately that's not enough to save it from sinking to the bottom of the sea like a stone. The script by Arthur Payne starts off OK with the two divers being killed by some sort of sea creature but this opening is NEVER referred to again, the creature is NEVER seen again & there are no more supernatural killings. The Evil Below then suffers from a serious & terminal case of identity crisis, it doesn't seem to know what it wants to be as it chucks bits & pieces of various genres in there from underwater adventure, horror, action, thriller, crime & it even has time to throw in a little murder mystery & religious nonsense as well. As a result The Evil Below feels very bitty, fragmented & since the best scene in the entire film is the opening sequence I found myself sat there becoming more & more frustrated at the lack of any consistent horror as it went downhill rapidly & the fact we never see the sea creature thing again. The Evil Below is dull, slow, uneventful, predictable, silly & lacks any sort of charm or intelligence, in short The Evil Below doesn't do anything right that a good film should.<br /><br />Director Dubois fails to liven things up although he obviously shot plenty of underwater wildlife material as at times I thought I was watching a National Geographic documentary with all the shots of fish, coral & the wildlife in general. Forget about any gore, some blood stained water & blood coughing is about as gory as it gets I'm afraid.<br /><br />Technically The Evil Below is very basic, it's bland & totally forgettable apart from nice underwater photography of fish. This is point & shoot stuff & as a whole the production values are very low, even the place where this was shot doesn't look very sunny or appealing. The acting is poor, but then again did you expect anything else?<br /><br />The Evil Below is a poor film, it's basic story is all over the place & it can't decide what it wants to be & as a result it ends up being a mess. Add that to the low production values, the fact there's no gore here & absolutely minimal horror content you have a film that is probably best avoided unless your absolutely desperate & even then surely there are better ways to spend 90 plus minutes of your life...",negative
36187,"Dynasty Revisited in Hawaii... Full of clichés, highly predictable, unrealistic and sometimes even stupid. If you have nothing better to do however, it does provide 40 minutes of simple, unpretensive entertainment, endless looks at great male and female muscles and very good photography of the spectacular Hawaiian scenery. On the other hand, If you are looking for anything more than that, stay away...<br /><br />Oh, and by the way, if you have ever worked in a Hotel or know anything about running one, you have two options: 1. You will feel sick every two minutes at the sheer stupidity and silliness of how the show presents Hotel Business or, 2. Look at it as science fiction comedy as I did, lie back, relax, and laugh about it!",negative
10223,"This is just about one of the dumbest things I've ever seen. Maybe not a worst movie ever contender, but if you haven't seen that many bad ones, this could easily make your Top Ten Worst List. When you consider what was achieved in 1933 with the original ""King Kong"", you've got to ask yourself why anyone would stoop so low as to produce this debacle. Then, taking it one step further and realizing that the quantum leap to ""Star Wars"" the following year achieved a new level in sci-fi entertainment, this offering will make you laugh and cry at the same time.<br /><br />Now let me ask you, what would possess the Professor (Peter Cushing) to bring along an umbrella as a prime piece of subterranean research equipment for the ride to the earth's core? OK, so it was useful in fending off the parrot/tyrannosaur (parrotosaurus?) in the early going, but come on. Somehow I don't think this is what Edgar Rice Burrough's had in mind when he wrote his tales of Pellucidar. He probably didn't have Caroline Munro in mind either as Princess Dia, probably the only redeeming factor to this whole escapade.<br /><br />At least there was one bit of pseudo-scientific explanation that I got a kick out of; I'm always looking for one in films like this. That would have to be how the sky at the earth's core was really the underside of the earth's crust, explaining that ethereal pinkish glow. But try as it might, the story just couldn't hook me in a way to find anything at all interesting about Hoojah the Sly One or Jubal the Ugly One, much less those goofy half man, half pterodactyl creatures. To paraphrase the good professor - ""You cannot mesmerize me, I'm paying attention!""",negative
31890,"I really loved seeing this movie. I think it's a brilliant, underrated Alfred Hitchcock movie. Everyone is familiar with the famous Statue of Liberty scene, but there's a really great movie before that. Robert Cummings is great in what I consider to be his greatest role, and the beautiful Priscilla Lane shows that she has a lot of talent too. But I think Norman Lloyd gives the best performance. His character, Fry, is so evil and devious. Even though he's not in it for very long, the movie wouldn't be the same without him.<br /><br />""Saboteur"" is a great movie that every Hitchcock fan should see. I give it a 10 out of 10!!",positive
44443,"I simply cant understand why all these relics from the Ceausescu era refuse to let go. One can see clearly how frustrated they were during the commie censorship that forbade them so many things to show in their movies, and now they imagine its dunno what big deal of artsy-fartsy freedom so fill the screen with people defecating, urinating, vomiting, swearing, and any other kinds of hideousness imaginable. THIS IS NOT CINEMA, FRIENDS AND NEIGHBORS! This is simply visual perversion. Forget about Bunuels Chien Andalou, about David Lynch, about Forman and neorealism and other movie makers who were able to work with an aesthetics of ugliness. THOSE people were mastering their jobs - well, you Don't! Do us a favor, all you Daneliucs and Nicolaescus and Saizescus and Muresans and Marinescus and Margineanus and other obsolete old-timers, and leave us alone! Its bit time to see some Romanian MOVIES on screen, enough with your immature terribilisms! You are not directors, you are ILLITERATE!!!",negative
24066,"Madhur Bhandarkar has given it all raw. But the best part is he hasn't forgotten to give the ingredients. It has come short and crisp to the viewer and it is the audience to make the choice now. Page 3 is a revelation of the naked truth irrespective of the crudeness attached to it.<br /><br />Madhavi (Konkan Sharma) is a journalist and enjoys her work. A simple and peaceful life adores her with a caring boyfriend and a nice roommate Pearl. She covers the Page 3 (Celebrity Page) of Nation Today, where she has a very supportive editor Deepak Suri (Boman Irani.) But life takes turn for her as she hits the first bump and takes herself away from Page 3 and goes into Crime bit. Omigosh! a whole new world was waiting for her there. She is shocked, excited, stunned with the revelation. Her reaction has resulted in losing the job. At the end she is back to Page 3. Now when she meets any celebrity in a party, she knows the actual looks of each, hidden under the illusive face.<br /><br />The movie has a message and it is crude. The audience needs to get it in their own color. The theme and the screenplay was fantastic. There are some very good thoughts applied to prepare the audiences. Like the foreplay-club is shown before the pedophiliac exhibition, the short suspense before gay-actions in bathroom. The dialogs are strong and the actors are really good at delivering it. Charu Mohanty's 2 words speaks volumes and he is very successful in uttering those two words with such ingenuity, it leaves an impact. The set selections could have been better. The songs don't stand anywhere; but they were needed in the background. Atul Kulkarni has a small role with high-impact. There were a few flaws visible. Atul Kulkarni explaining Konkan Sharma that honesty should be tagged along with intelligence. There could have been a better dialog as this sounds like a preach. The meeting between Thapar and his daughter doesn't call for acting. That scene looks very unprofessional.<br /><br />Overall it is a must-watch movie with selective options before the pedophilia incident. That may spoil your mood.",positive
37824,"There is no such a thing as perfect murder.Lieutenant Columbo knows that.Ken Franklin, who is the other half of the writing team of detective stories doesn't know that.He kills his partner Jim Ferris who had plans on going solo.Now Columbo steps into the picture and asks all sorts of questions from Mr. Franklin.And returns for one more question.Columbo: Murder by the Book (1971) is directed by the young Steven Spielberg before his days of fame.Steven Bochco wrote it.Columbo is a fantastic character with his shabby look.It's hard to believe this man could solve any crime.But he could.Each and every one of them! Peter Falk is the one and only person in the world that could portray this character.So no remakes, please.This part is a very good example of how Columbo worked.Jack Cassidy plays the murderer and Martin Milner plays the victim.Rosemary Forsyth plays the victim's wife Joanna Ferris.There's something endearing in the scenes between Columbo and her.How he makes the omelet and everything.Barbara Colby plays Lilly La Sanka.She actually met a tragic fate when she died after a homicide like she does here.I've been a fan of Columbo since childhood and I still enjoy watching them.There was a break for many years that they weren't showing Columbo stories at all but now he's back.Back for one more question.",positive
19387,"I must say I was surprised to find several positive comments to this turkey (in desperate need of a feather transplant)! I'm giving it a 1 because I think the idea of making a movie about the wild man of rock'n'roll - Jerry Lee Lewis, is honorable, but it's a shame to put out such trash and the ""killer"" does not deserve this! It's a good thing it came late in his career... they said Elvis practically ruined his career with the movies he put out through the sixties and this could have done the same for Jerry lee, had it come out some 15-20 years earlier! It's based on Myra Gail Lewis book and that's a shame to begin with. It's a bad and inaccurate story of her life together with Lewis and there is far better books about the Killer, that could have made a much better and more interesting script. Add to this a bunch of actors who doesn't know if they are participating in a drama, comedy or a little bit of both! The otherwise fine actor Dennis Quaid is putting on what must be one of the worst performances of an actor in many a moon! He is walking around in the picture, talking about his ""god-given talent"" and as a spectator, you wish he'd show some of it on the screen too! Silly gestures and funny faces and Jerry Lee must have felt betrayed when he saw what had become of him in this truly awful movie! The rest of the crew is almost as bad... save for Winona Ryder, who does her best with the crappy lines given to her. It's ""Grease"" all over again and whenever Jerry Lee take a ride around Memphis in his convertible, having the radio on in the car, the whole town is dancing to the music from it! Everybody in this movie are like cartoon figures of the real people involved... from the wild man himself to Sun Records Sam Philips! And it's a damn shame! A charismatic and interesting artist like Jerry Lee Lewis deserves better and I hope he took the 500.000 dollars he got from the deal and told the company to go f**k themselves... twice!",negative
16502,"I must say it was a let down. Overall its great to see the way Aparna Sen has handled the issue of schizophrenia, I am not much knowledgeable on this and got whatever it was depicted in A Beautiful Mind, and here too its interesting portrayal.<br /><br />But the thing that caused the let down for me was the artificial dialogues and over use of English. Its true that a new class is being formed/ has been formed in India which talks in English even at home, but I am sure its not as formal as in the movie. Moreover, Waheeda Rehmaan did not seem very comfortable talking everything in English. Charu's dialogue in Bihari tone was seemingly much more realistic and digestible.<br /><br />The second thing, its about the abstract flavor she has tried to give to the movie. I generally like movies with open ending, but here there were many loose ends. Its like cut pieces are joined together to make the movie. Also there seemed no central theme to the movie. Schizophernia for sure was the main line but intermingling sister-sister, mother-daughter, adding doctor-azmi relation, no real use of brother, Bose - Bose's wife relations..... all were not required and made the audience loose track of what actually did she try to depict.<br /><br />On the whole, a watch for people who like off-beat movies, a must avoid for the ones who just see movies as an entertainment tool.",positive
29851,"I understand the jokes quite well, they just aren't good. The show is horrible. I understand it, and that's another horrible thing about it. The only cool character there EVER was on the show was that one hobo in that one episode, but then I see the other episode including that episode and the show is horrible. It's not funny, NOT funny! I don't want people to say ""Only smart people get it"" because if they're so smart why do they judge people they don't even know and say that they're not smart or intellectual enough to understand it? It's like saying ""The sky is red"" but never looking outside. But anyways, this is absolutely the worst show I have ever seen in my life, the jokes are terrible, I mean, you can understand them, they're just horrible, her controversy is very lame, her fart jokes and other jokes on bodily fluids are really dumb and usually consist of really bad acting. I'm not sure what these ""smart"" people see in this show, but judging others when they don't even know anything about any of us isn't exactly a smart comment.",negative
32857,"Forget about the plot of this movie. Forget about the fact that it is wonderfully acted by Vince Vaughn and Vincend D'Onofrio. Forget about the fact that it is one of the few movies starring Jennifer Lopez that I can stomach. Although the story made be impossible to believe and much of the dialogue seems contrived, the one and only important thing to remember when contemplating watching this movie is that it contains some of the most amazing and disturbing imagery ever put on film. It is as if Salvador Dali decided to make a crime drama. A must see for anyone seriously interested in cinematography and the use of the film cell as a canvas on which to display true works of visual art. I would have to give this movie a 9/10 for it's amazing visual display.",positive
37576,"We all enjoyed the movie. It is a very charming family film with many fun cameos. It was fun to see Austin musicians, Charlie Robison, Joe Ely and Robert Earl Keen in the film as well as turns by famous actors Julia Roberts and Bruce Willis. Emma Roberts is especially cute in the film however all the children are good. The west Texas scenery is great as is the soundtrack full of Texas artists. The last half seemed a bit far fetched to me, however, my son was interested throughout the film which is not so often with him. Something in the storyline was captivating for children. Having shown calves as a child, I really liked the ending. That is definitely not the way it really works unless you have heifers.",positive
8055,"I have seen this film on countless occasions, and thoroughly enjoyed it each time. This is mostly due to the lovely Erika Eleniak- a great actress with incredible looks. Plus, any film starring Tom Berenger and Dennis Hopper is bound to be entertaining.",positive
35003,"Following is a little-known 1998 British film, which was made with a budget of £8000 and has a running time of 70 minutes. When watching it, you'd never expect its director to go on to make it in Hollywood and become one of the most acclaimed and celebrated directors of the 21st Century  well, everybody has to start somewhere I suppose.<br /><br />The director of Following, as you probably already know is Englishman Christopher Nolan, who directly after Following would go on to direct the critically-acclaimed independent film Memento; a few years later he would be hired by Warner Bros. to direct the new Batman series, which further brought him acclaim, and so on and so forth. My point is, everybody has to start somewhere  even if it's not in the most astounding debut  and Christopher Nolan introduces himself to the world in 1998 with Following.<br /><br />When watching it, I couldn't help but draw resemblances to another directorial debut, avant-garde auteur David Lynch's Eraserhead. Following is not a surrealist psychological horror film in that sense, but the similarities are noticeable; most notable, it's shot in grainy black-and-white and has an atmosphere about it that makes it unique. It's hard to describe in words, but it loosely resembles the smoky atmosphere you'd find in the film noirs of old. Hence, it can be said that Following is a contemporary film noir, or a neo-noir. Overall, it's an amalgamation of that and a psychological thriller, and the story is most appropriate to these two genres.<br /><br />The main character is nameless, and the movie's title stems from an early, obsessive-compulsive trait he possessed  randomly picking out people on the street and following them, sometimes even for hours on end. During one of these 'stalking expeditions', the main character becomes noticed by one of the people he is following, and is confronted. Turns out that the 'confronter' is a man who is willing to befriend our narrator, and he introduces himself; his name is Cobb, and he's a petty burglar who invites the narrator to follow him on his burglaries.<br /><br />From there, the main character becomes swept up in Cobb's world, and he becomes embroiled in crime, passion and violence as he gets more and more intimate with Cobb. Following is not so much a character study, but instead a film which follows the tumultuous relationship between these two main characters, and the devastating ramifications it has on our narrator. Nolan succeeds in making the film resemble a film noir, and emulates the respective atmosphere well.<br /><br />As a thriller, Following is taut and atmospheric; however as a film in general, it's somewhat of a disappointment. If not that, then one could definitely call it underwhelming. The entire film is shot in a non-chronological and non-linear fashion, and it makes the story and film-experience unique, to some extent  this style has been done so many times now it's almost commonplace technique  and the story itself is unique to some extent.<br /><br />However, Following is ultimately underwhelming for the entire film, and is disappointingly unspectacular. The story calls for more  more action, more suspense and more thrills  but it becomes too embroiled in its own storyline, and instead focuses on creating an intricate story. Following does succeed in doing that, but without any other elements it's a film noir that doesn't quite work out; it's got a sense of emptiness which isn't enormous, but still noticeable nonetheless. Furthermore, the film's shocking revelation at the end  almost a mandatory convention in film noirs  is one that makes us feel cheated; it's unpredictable and comes out of nowhere, but in relation to the story it's disappointing, as it essentially makes the preceding scenes, and the entire film, seem like an enormous waste of time.<br /><br />But the positives far outweigh the negatives, and in the end Following turns out to be a flawed but satisfying film, Yes, everybody has to start somewhere. Christopher Nolan does it with Following, and he does it in a fine manner. A quiet, meek but fine manner. It's not the most astounding movie, and it isn't quite worthy of the accolades the director would go on to receive in the following decade, but it's still a good film nonetheless. When singling out Following, you find a well-made, taut and atmospheric thriller, one which lacks noticeable nuance or innovative style but still manages to grip audiences nonetheless.",positive
